,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
118,72.41631407,126.6052973,71.5,121.5,71.47360989,119.3470937
119,72.81879149,126.5458465,71.5,121.5,71.47360989,119.3470937
120,73.13522741,126.4696207,71.5,121.5,71.47360989,119.3470937
121,73.22956204,126.4468966,71.5,121.5,71.47360989,119.334413
122,73.22956204,126.4468966,71.5,121.5,71.47360989,119.334413
123,73.30714435,126.354966,71.5,121.5,71.47360989,119.334413
124,73.37797882,126.0344383,71.5,121.5,71.47360989,119.334413
125,73.32411022,125.6525669,71.5,121.5,71.47360989,119.334413
126,73.22319875,125.484518,71.5,121.5,71.47360989,119.334413
127,72.95669068,125.2413631,71.5,121.5,71.47360989,119.334413
128,72.93316727,125.2199009,71.5,121.5,71.47360989,119.334413
129,73.00583991,125.216155,71.5,121.5,71.47360989,119.334413
130,73.15271888,125.2418653,71.5,121.5,71.47360989,119.334413
131,73.72363256,125.3461778,71.5,121.5,71.47360989,119.334413
132,74.1009163,125.485479,71.5,121.5,71.47360989,119.334413
133,74.20339886,125.8175264,71.5,121.5,71.47360989,119.334413
134,73.97905546,125.9274044,71.5,121.5,71.47360989,119.334413
135,73.61353617,125.909537,71.5,121.5,71.47360989,119.334413
136,73.20593009,125.8532717,71.5,121.5,71.47360989,119.334413
137,72.70463148,126.1146958,71.5,121.5,71.12325938,118.5964298
138,72.60407046,126.233142,71.5,121.5,70.97515326,118.284457
139,72.5740916,126.2684528,71.49754481,121.4805544,70.85250657,118.0261123
140,72.5740916,126.2684528,71.49263443,121.3901692,70.75094285,117.812177
141,72.5740916,126.2684528,71.46137988,121.0677196,70.66683792,117.6350172
142,72.5740916,126.2684528,71.41410517,120.6709629,70.64495919,117.5889316
143,72.5740916,126.2684528,71.3620546,120.2520542,70.626491,117.5500299
144,72.5740916,126.2684528,71.30858026,119.8265415,70.626491,117.5500299
145,72.5740916,126.2684528,71.25468148,119.3990601,70.626491,117.5500299
146,72.5740916,126.2684528,71.21940484,119.1194436,70.626491,117.5500299
147,72.5740916,126.2684528,71.17009652,118.7287308,70.626491,117.5500299
148,72.5740916,126.2684528,71.10581724,118.2194759,70.626491,117.5500299
149,72.56515442,126.2789795,71.0291405,117.6120562,70.626491,117.5500299
150,72.56515442,126.2789795,70.94219744,116.9233463,70.626491,117.5500299
