ID,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
499,70,121,67,33,70,122
500,70,121,67,33,69,121
501,70,121,67,33,69,121
502,70,121,67,33,68,121
503,70,121,67,33,68,121
504,70,121,67,33,69,121
505,70,121,67,33,69,121
506,70,121,67,33,69,121
507,70,121,67,33,69,121
508,70,121,67,33,69,121
509,70,121,67,33,69,121
510,70,121,67,33,68,121
511,70,121,67,33,68,121
512,70,121,67,33,68,121
513,70,121,67,33,68,121
514,70,121,67,33,68,121
515,70,121,67,33,68,121
516,70,121,67,33,68,121
517,70,121,67,33,68,121
518,70,121,67,33,68,121
519,70,121,67,33,68,121
520,70,121,67,33,68,121
521,70,121,67,33,68,121
522,70,121,67,33,68,121
523,70,121,67,33,68,121
524,70,121,67,33,68,121
525,70,121,67,33,68,121
526,70,121,67,33,68,121
527,70,121,67,33,68,121
528,70,121,67,33,68,121
529,70,121,67,33,68,121
530,70,121,67,33,68,121
531,70,121,67,33,68,121
532,70,121,67,33,68,121
533,70,121,67,33,68,121
534,70,121,67,33,68,121
535,70,121,67,33,68,121
536,71,121,67,33,68,121
537,71,121,67,33,68,121
538,71,121,67,33,68,121
539,72,121,67,33,68,121
540,72,121,67,33,68,121
541,73,121,67,33,68,121
542,73,121,67,33,68,121
543,74,121,67,33,68,121
544,74,121,67,33,68,121
545,74,121,67,33,68,121
546,74,121,67,33,68,121
547,74,121,67,33,68,121
548,74,121,67,33,68,121
549,75,121,67,33,68,121
550,75,121,67,33,68,121
551,75,121,67,33,68,121
552,76,121,67,33,68,121
553,76,121,67,33,68,121
554,76,121,67,33,68,121
555,77,121,67,33,68,121
556,77,120,67,33,68,121
557,78,120,67,33,68,121
558,78,120,67,33,68,121
559,78,120,67,33,68,121
560,78,120,67,33,68,121
561,78,120,67,33,68,121
562,78,120,67,33,68,121
563,78,121,67,33,68,121
564,78,121,67,33,68,121
565,78,121,67,33,68,121
566,78,122,67,33,68,121
567,78,122,67,33,68,121
568,78,122,67,33,68,121
569,78,122,67,33,68,121
570,78,122,67,33,68,121
571,78,122,67,33,68,121
572,78,122,67,33,68,121
573,78,122,67,33,68,121
574,78,122,67,33,68,121
575,78,122,67,33,68,121
576,78,122,67,33,68,121
577,78,122,67,33,68,121
578,78,122,67,33,68,121
579,78,122,67,33,68,121
580,78,122,67,33,68,121
581,79,122,67,33,68,121
582,79,121,67,33,68,121
583,79,121,67,33,68,121
584,79,121,67,33,68,121
585,79,121,67,33,68,121
586,79,121,67,33,68,121
587,79,121,67,33,68,121
588,79,121,67,33,68,121
589,79,120,67,33,68,121
590,79,120,67,33,68,121
591,79,120,67,33,68,121
592,79,119,67,33,68,121
593,79,118,67,33,68,121
594,79,118,67,33,68,121
595,79,118,67,33,68,121
596,79,118,67,33,68,121
597,79,118,67,33,68,121
598,79,118,67,33,68,121
599,79,118,67,33,68,121
600,79,118,67,33,68,121
601,79,118,67,33,68,121
602,79,118,67,33,68,121
603,80,118,67,33,68,121
604,80,117,67,33,68,121
605,79,117,67,33,68,121
606,79,117,67,33,68,121
607,78,117,67,33,68,121
608,78,116,67,33,68,121
609,78,116,67,33,68,121
610,78,115,67,33,68,121
611,78,115,67,33,68,121
612,78,115,67,33,68,121
613,78,115,67,33,68,121
614,79,115,67,33,68,121
615,79,115,67,33,68,121
616,80,115,67,33,68,121
617,80,115,67,33,68,121
618,80,115,67,33,68,121
619,80,115,67,33,68,121
620,80,115,67,33,68,121
621,80,115,67,33,68,121
622,80,115,67,33,68,122
623,80,115,67,33,68,122
624,80,115,67,33,68,122
625,80,115,67,33,68,123
626,80,115,67,33,69,123
627,80,115,67,33,69,123
628,80,115,67,33,69,124
629,80,115,67,33,69,124
630,80,115,67,33,69,124
631,80,115,67,33,69,124
632,80,115,67,33,69,124
633,80,115,67,33,69,124
634,80,115,67,33,69,124
635,80,115,67,33,69,124
636,80,115,67,33,69,124
637,80,115,67,33,69,124
638,80,115,67,33,69,124
639,80,115,67,33,69,124
640,80,115,67,33,69,124
641,80,115,67,33,69,124
642,80,115,67,33,69,124
643,80,115,67,33,69,124
644,80,115,67,33,69,124
645,79,116,67,33,69,124
646,79,116,67,33,69,124
647,79,116,67,33,69,124
648,79,116,67,33,69,124
649,79,116,67,33,69,124
650,80,116,67,33,69,124
651,80,116,67,33,69,124
652,79,116,67,33,69,124
653,79,117,67,33,69,124
654,79,117,67,33,69,124
655,79,117,67,33,69,124
656,79,118,67,33,69,124
657,79,118,67,33,69,124
658,79,119,67,33,69,124
659,78,119,67,33,69,124
660,78,120,67,33,69,124
661,78,120,67,33,69,124
662,78,120,67,33,69,124
663,77,121,67,33,69,124
664,77,121,67,33,69,124
665,77,121,67,33,69,124
666,77,121,67,33,69,124
667,76,121,67,33,69,124
668,76,121,67,33,69,124
669,75,121,67,33,69,124
670,75,121,67,33,69,124
671,75,121,67,33,69,124
672,75,121,67,33,69,124
673,75,121,67,33,69,124
674,75,121,67,33,69,124
675,75,121,67,33,69,124
676,75,121,67,33,69,124
677,75,122,67,33,69,124
678,74,122,67,33,69,124
679,74,122,67,33,69,125
680,74,122,67,33,69,125
681,73,122,67,33,69,125
682,73,122,67,33,69,126
683,72,122,67,33,69,127
684,72,122,67,33,69,127
685,72,122,67,33,69,127
686,72,123,67,33,69,127
687,72,123,67,33,69,127
688,72,124,67,33,69,126
689,72,124,67,33,69,126
690,72,125,67,33,69,126
691,72,125,67,33,69,125
692,72,125,67,33,69,125
693,72,126,67,33,69,124
694,73,126,67,33,69,124
695,73,126,67,33,69,124
696,73,127,67,33,69,124
697,73,127,67,33,69,124
698,73,127,67,33,70,124
699,73,127,67,33,70,124
700,73,127,67,33,70,123
701,74,127,67,33,70,123
702,74,127,67,33,70,123
703,74,127,67,33,70,123
704,74,127,67,33,70,123
705,74,126,67,33,70,123
706,74,126,67,33,70,122
707,74,126,67,33,70,122
708,74,126,67,33,70,122
709,74,126,67,33,70,122
710,74,126,67,33,70,122
711,73,125,67,33,70,122
712,73,125,67,33,70,121
713,73,124,67,33,70,121
714,74,124,67,33,70,121
715,74,125,67,33,70,121
716,74,124,67,33,70,120
717,74,124,67,33,70,120
718,74,124,67,33,70,119
719,74,124,67,33,70,119
720,74,124,67,33,70,118
721,73,124,67,33,70,118
722,73,124,67,33,70,118
723,72,124,67,33,70,118
724,72,124,67,33,70,118
725,72,125,67,33,70,117
726,72,125,67,33,70,117
727,73,125,67,33,70,117
728,73,126,67,33,70,116
729,73,126,67,33,70,116
730,73,126,67,33,70,115
731,73,126,67,33,70,115
732,73,126,67,33,70,114
733,73,126,67,33,70,114
734,73,126,67,33,70,113
735,73,126,67,33,70,113
736,74,126,67,33,70,113
737,74,126,67,33,70,112
738,74,126,67,33,70,112
739,74,126,67,33,70,111
740,74,126,67,33,70,111
741,73,127,67,33,70,110
742,73,127,67,33,70,110
743,73,127,67,33,70,109
744,73,127,67,33,70,109
745,73,127,67,33,70,108
746,73,127,67,33,70,108
747,73,127,67,33,70,107
748,73,127,67,33,70,107
749,73,127,67,33,70,107
750,73,127,67,33,70,106
751,73,127,67,33,70,106
752,73,127,67,33,70,105
753,73,127,67,33,70,105
754,73,127,67,33,71,105
755,73,127,67,33,71,105
756,73,127,67,33,71,105
757,73,127,67,33,71,105
758,73,127,67,33,71,105
759,73,127,67,33,71,105
760,73,127,67,33,71,104
761,73,127,67,33,71,104
762,73,127,67,33,71,104
763,73,127,67,33,71,104
764,73,127,67,33,71,104
765,73,127,67,33,71,104
766,73,127,67,33,71,104
767,73,127,67,33,71,104
768,73,127,67,33,71,104
769,73,127,67,33,71,104
770,73,127,67,33,71,104
771,73,127,67,33,70,104
772,73,127,67,33,70,104
773,73,127,67,33,70,104
774,73,127,67,33,69,103
775,74,126,67,33,69,103
776,74,126,67,33,69,102
777,74,126,67,33,69,102
778,74,126,67,33,69,102
779,74,125,67,33,69,102
780,74,125,67,33,69,101
781,74,125,67,33,69,101
782,74,125,67,33,69,101
783,74,124,67,33,69,100
784,74,124,67,33,69,100
785,74,124,67,33,69,100
786,74,124,67,33,69,99
787,73,123,67,33,69,99
788,73,123,67,33,69,98
789,73,123,67,33,70,98
790,72,123,67,33,70,98
791,72,123,67,33,70,97
792,72,122,67,33,70,97
793,72,122,67,33,70,96
794,72,122,67,33,70,96
795,72,122,67,33,70,96
796,72,121,67,33,70,95
797,72,121,67,33,70,95
798,71,121,67,33,70,94
799,71,121,67,33,70,94
800,71,121,67,33,70,93
801,71,120,67,33,70,93
802,70,120,67,33,70,92
803,70,120,67,33,70,92
804,70,120,67,33,70,92
805,70,119,67,33,70,91
806,70,119,67,33,70,91
807,70,119,67,33,70,90
808,69,119,67,33,70,90
809,69,118,67,33,70,89
810,69,118,67,33,70,89
811,69,118,67,33,70,88
812,69,118,67,33,70,88
813,69,117,67,33,70,88
814,70,117,67,33,70,87
815,70,117,67,33,70,87
816,70,117,67,33,70,87
817,70,116,67,33,70,86
818,70,116,67,33,70,86
819,70,116,67,33,70,85
820,70,115,67,33,70,85
821,70,115,67,33,70,84
822,70,115,67,33,70,83
823,70,115,67,33,70,83
824,70,114,67,33,70,83
825,70,114,67,33,70,82
826,70,114,67,33,70,82
827,70,113,67,33,70,82
828,70,113,67,33,70,81
829,70,113,67,33,70,81
830,70,112,67,33,70,81
831,70,112,67,33,70,80
832,70,112,67,33,70,80
833,70,112,67,33,70,79
834,70,111,67,33,70,79
835,70,111,67,33,70,78
836,70,111,67,33,70,78
837,70,110,67,33,70,78
838,70,110,67,33,70,77
839,70,110,67,33,70,76
840,70,109,67,33,70,76
841,70,109,67,33,70,76
842,70,109,67,33,70,75
843,70,108,67,33,70,75
844,70,108,67,33,70,74
845,70,108,67,33,70,74
846,70,108,67,33,70,74
847,70,107,67,33,70,73
848,70,107,67,33,70,73
849,70,107,67,33,70,72
850,71,106,67,33,70,72
851,71,106,67,33,70,71
852,71,106,67,33,70,71
853,71,105,67,33,70,70
854,71,105,67,33,70,70
855,71,105,67,33,70,70
856,71,105,67,33,70,70
857,71,104,67,33,70,70
858,71,104,67,33,70,70
859,71,104,67,33,70,70
860,71,103,67,33,70,69
861,71,103,67,33,70,69
862,71,103,67,33,70,68
863,71,103,67,33,70,68
864,71,102,67,33,70,68
865,71,102,67,33,70,68
866,71,101,67,33,70,68
867,71,101,67,33,70,68
868,71,101,67,33,70,68
869,71,100,67,33,70,68
870,71,100,67,33,70,68
871,71,100,67,33,70,68
872,71,100,67,33,70,68
873,71,99,67,33,70,68
874,71,99,67,33,70,67
875,71,99,67,33,70,67
876,71,98,67,33,70,66
877,71,98,67,33,70,66
878,70,98,67,33,70,66
879,70,98,67,33,70,66
880,70,97,67,33,69,66
881,70,97,67,33,69,66
882,71,97,67,33,69,66
883,71,96,67,33,69,66
884,71,96,67,33,69,66
885,71,96,67,33,69,66
886,71,95,67,33,69,66
887,70,95,67,33,69,66
888,70,95,67,33,69,66
889,70,94,67,33,69,66
890,70,94,67,33,69,66
891,70,94,67,33,70,66
892,70,94,67,33,69,66
893,70,93,67,33,69,66
894,70,93,67,33,69,66
895,70,93,67,33,69,66
896,70,93,67,33,69,66
897,70,92,67,33,69,65
898,70,92,67,33,69,65
899,70,92,67,33,69,65
900,71,91,67,33,69,65
901,71,91,67,33,69,65
902,71,91,67,33,69,64
903,71,90,67,33,70,64
904,71,90,67,33,70,64
905,71,90,67,33,71,64
906,70,90,67,33,71,63
907,70,89,67,33,72,63
908,71,89,67,33,72,63
909,71,89,67,33,72,62
910,71,88,67,33,72,62
911,71,88,67,33,72,62
912,71,88,67,33,71,61
913,71,88,67,33,71,61
914,71,87,67,33,71,60
915,71,87,67,33,71,60
916,71,87,67,33,70,60
917,71,86,67,33,70,60
918,70,86,67,33,70,60
919,70,86,67,33,71,60
920,70,85,67,33,71,59
921,70,85,67,33,71,59
922,70,85,67,33,71,59
923,70,85,67,33,71,59
924,70,84,67,33,72,59
925,70,84,67,33,72,59
926,70,84,67,33,72,59
927,70,83,67,33,73,59
928,70,83,67,33,73,59
929,70,83,67,33,74,59
930,70,82,67,33,74,59
931,70,82,67,33,74,59
932,70,82,67,33,74,59
933,70,81,67,33,74,59
934,70,81,67,33,74,59
935,70,81,67,33,74,59
936,70,80,67,33,74,59
937,70,80,67,33,74,59
938,70,80,67,33,75,60
939,70,80,67,33,75,60
940,70,79,67,33,75,60
941,70,79,67,33,76,60
942,70,79,67,33,76,60
943,70,78,67,33,77,59
944,70,78,67,33,77,59
945,70,78,67,33,78,59
946,70,77,67,33,78,59
947,70,77,67,33,78,59
948,70,77,67,33,79,59
949,70,76,67,33,79,59
950,70,76,67,33,79,59
951,70,76,67,33,80,59
952,70,76,67,33,80,59
953,70,75,67,33,81,59
954,70,75,67,33,81,59
955,70,75,67,33,82,59
956,70,74,67,33,82,59
957,70,74,67,33,82,59
958,70,74,67,33,83,59
959,70,73,67,33,83,59
960,70,73,67,33,84,59
961,70,73,67,33,84,59
962,70,73,67,33,84,59
963,70,72,67,33,85,59
964,70,72,67,33,86,59
965,70,71,67,33,86,59
966,70,71,67,33,86,59
967,70,71,67,33,87,59
968,70,71,67,33,87,59
969,71,70,67,33,87,59
970,71,70,67,33,87,60
971,71,70,67,33,87,60
972,71,70,67,33,87,60
973,71,69,67,33,88,60
974,71,69,67,33,88,60
975,71,69,67,33,89,60
976,71,68,67,33,89,60
977,71,68,67,33,90,60
978,71,68,67,33,90,60
979,71,67,67,33,91,60
980,71,67,67,33,91,60
